2020-06-02 10:22:36.460 [main] INFO  com.myself.shiroproject.ShiroprojectApplication 55- Starting ShiroprojectApplication on DESKTOP-684PCSN with PID 7040 (D:\Users\project\layui\shiroproject\target\classes started by vici in D:\Users\project\layui\shiroproject)
2020-06-02 10:22:36.464 [main] DEBUG com.myself.shiroproject.ShiroprojectApplication 56- Running with Spring Boot v2.2.5.RELEASE, Spring v5.2.4.RELEASE
2020-06-02 10:22:36.465 [main] INFO  com.myself.shiroproject.ShiroprojectApplication 655- The following profiles are active: dev
2020-06-02 10:22:37.290 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate 249- Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-02 10:22:37.293 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate 127- Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-02 10:22:37.374 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate 187- Finished Spring Data repository scanning in 66ms. Found 0 Redis repository interfaces.
2020-06-02 10:22:37.638 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330- Bean 'shiroConfiguration' of type [com.myself.shiroproject.config.shiro.ShiroConfiguration$$EnhancerBySpringCGLIB$$4f199c42] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-02 10:22:37.737 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330- Bean 'hashedCredentialsMatcher' of type [org.apache.shiro.authc.credential.HashedCredentialsMatcher] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-02 10:22:37.848 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330- Bean 'mybatis-plus-com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-02 10:22:37.852 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330- Bean 'mybatisPlusConfigure' of type [com.myself.shiroproject.config.pageconfig.MybatisPlusConfigure$$EnhancerBySpringCGLIB$$5b7a1df8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-02 10:22:37.856 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330- Bean 'paginationInterceptor' of type [com.baomidou.mybatisplus.extension.plugins.PaginationInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-02 10:22:37.859 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330- Bean 'com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration$$EnhancerBySpringCGLIB$$93294006] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
